id;start_date;end_date;language
1;2022-12-13T03:14:37;2022-12-13T01:04:52;ENGLISH
2;2022-12-12T12:42:12;2022-12-12T22:07:41;FRENCH
3;2022-12-12T22:38:24;2022-12-12T10:43:32;SPANISH
4;2022-12-13T03:09:13;2022-12-12T08:35:32;FRENCH
5;2022-12-13T05:25:36;2022-12-12T13:44:34;ENGLISH
6;2022-12-12T14:56:19;2022-12-13T04:56:39;SPANISH
7;2022-12-12T23:00:07;2022-12-12T09:34:16;FRENCH
8;2022-12-12T13:26:00;2022-12-12T10:01:49;FRENCH
9;2022-12-12T14:17:38;2022-12-13T01:49:04;FRENCH
10;2022-12-12T10:14:36;2022-12-13T03:12:05;FRENCH
